"No.","Collection Period","Collection Start Time","Value","Unit"
"1","Total energy yield","","3482.82","kWh"
"2","1 Hour","2018-07-27 16:00:00","10.90","kWh"
"3","1 Hour","2018-07-27 17:00:00","8.25","kWh"
"4","1 Hour","2018-07-27 18:00:00","2.71","kWh"
"5","1 Hour","2018-07-27 19:00:00","2.27","kWh"
"6","1 Hour","2018-07-27 20:00:00","0.65","kWh"
"7","1 Hour","2018-07-27 21:00:00","0.00","kWh"
"8","1 Hour","2018-07-27 22:00:00","0.00","kWh"
"9","1 Hour","2018-07-27 23:00:00","0.00","kWh"
"10","1 Hour","2018-07-28 00:00:00","0.00","kWh"
"11","1 Hour","2018-07-28 01:00:00","0.00","kWh"
"12","1 Hour","2018-07-28 02:00:00","0.00","kWh"
"13","1 Hour","2018-07-28 03:00:00","0.00","kWh"
"14","1 Hour","2018-07-28 04:00:00","0.00","kWh"
"15","1 Hour","2018-07-28 05:00:00","0.01","kWh"
"16","1 Hour","2018-07-28 06:00:00","0.45","kWh"
"17","1 Hour","2018-07-28 07:00:00","0.71","kWh"
"18","1 Hour","2018-07-28 08:00:00","2.30","kWh"
"19","1 Hour","2018-07-28 09:00:00","3.76","kWh"
"20","1 Hour","2018-07-28 10:00:00","3.84","kWh"
"21","1 Hour","2018-07-28 11:00:00","6.29","kWh"
"22","1 Hour","2018-07-28 12:00:00","4.95","kWh"
"23","1 Hour","2018-07-28 13:00:00","13.25","kWh"
"24","1 Hour","2018-07-28 14:00:00","12.84","kWh"
"25","1 Hour","2018-07-28 15:00:00","15.15","kWh"
"26","1 Hour","2018-07-28 16:00:00","9.12","kWh"
"27","1 Hour","2018-07-28 17:00:00","11.00","kWh"
"28","1 Hour","2018-07-28 18:00:00","7.43","kWh"
"29","1 Hour","2018-07-28 19:00:00","1.32","kWh"
"30","1 Hour","2018-07-28 20:00:00","0.13","kWh"
"31","1 Hour","2018-07-28 21:00:00","0.00","kWh"
"32","1 Hour","2018-07-28 22:00:00","0.00","kWh"
"33","1 Hour","2018-07-28 23:00:00","0.00","kWh"
"34","1 Hour","2018-07-29 00:00:00","0.00","kWh"
"35","1 Hour","2018-07-29 01:00:00","0.00","kWh"
"36","1 Hour","2018-07-29 02:00:00","0.00","kWh"
"37","1 Hour","2018-07-29 03:00:00","0.00","kWh"
"38","1 Hour","2018-07-29 04:00:00","0.00","kWh"
"39","1 Hour","2018-07-29 05:00:00","0.05","kWh"
"40","1 Hour","2018-07-29 06:00:00","0.97","kWh"
"41","1 Hour","2018-07-29 07:00:00","4.13","kWh"
"42","1 Hour","2018-07-29 08:00:00","8.59","kWh"
"43","1 Hour","2018-07-29 09:00:00","13.80","kWh"
"44","1 Hour","2018-07-29 10:00:00","18.35","kWh"
"45","1 Hour","2018-07-29 11:00:00","21.24","kWh"
"46","1 Hour","2018-07-29 12:00:00","22.68","kWh"
"47","1 Hour","2018-07-29 13:00:00","23.78","kWh"
"48","1 Hour","2018-07-29 14:00:00","21.29","kWh"
"49","1 Hour","2018-07-29 15:00:00","19.63","kWh"
"50","1 Hour","2018-07-29 16:00:00","13.17","kWh"
"51","1 Hour","2018-07-29 17:00:00","1.68","kWh"
"52","1 Hour","2018-07-29 18:00:00","1.69","kWh"
"53","1 Hour","2018-07-29 19:00:00","2.08","kWh"
"54","1 Hour","2018-07-29 20:00:00","0.20","kWh"
"55","1 Hour","2018-07-29 21:00:00","0.00","kWh"
"56","1 Hour","2018-07-29 22:00:00","0.00","kWh"
"57","1 Hour","2018-07-29 23:00:00","0.00","kWh"
"58","1 Hour","2018-07-30 00:00:00","0.00","kWh"
"59","1 Hour","2018-07-30 01:00:00","0.00","kWh"
"60","1 Hour","2018-07-30 02:00:00","0.00","kWh"
"61","1 Hour","2018-07-30 03:00:00","0.00","kWh"
"62","1 Hour","2018-07-30 04:00:00","0.00","kWh"
"63","1 Hour","2018-07-30 05:00:00","0.03","kWh"
"64","1 Hour","2018-07-30 06:00:00","1.24","kWh"
"65","1 Hour","2018-07-30 07:00:00","2.83","kWh"
"66","1 Hour","2018-07-30 08:00:00","1.38","kWh"
"67","1 Hour","2018-07-30 09:00:00","3.15","kWh"
"68","1 Hour","2018-07-30 10:00:00","4.00","kWh"
"69","1 Hour","2018-07-30 11:00:00","4.83","kWh"
"70","1 Hour","2018-07-30 12:00:00","8.99","kWh"
"71","1 Hour","2018-07-30 13:00:00","18.25","kWh"
"72","1 Hour","2018-07-30 14:00:00","14.28","kWh"
"73","1 Hour","2018-07-30 15:00:00","10.32","kWh"
"74","1 Hour","2018-07-30 16:00:00","11.41","kWh"
"75","1 Hour","2018-07-30 17:00:00","10.88","kWh"
"76","1 Hour","2018-07-30 18:00:00","3.43","kWh"
"77","1 Hour","2018-07-30 19:00:00","3.18","kWh"
"78","1 Hour","2018-07-30 20:00:00","0.00","kWh"
"79","1 Hour","2018-07-30 21:00:00","0.00","kWh"
"80","1 Hour","2018-07-30 22:00:00","0.00","kWh"
"81","1 Hour","2018-07-30 23:00:00","0.00","kWh"
"82","1 Hour","2018-07-31 00:00:00","0.00","kWh"
"83","1 Hour","2018-07-31 01:00:00","0.00","kWh"
"84","1 Hour","2018-07-31 02:00:00","0.00","kWh"
"85","1 Hour","2018-07-31 03:00:00","0.00","kWh"
"86","1 Hour","2018-07-31 04:00:00","0.00","kWh"
"87","1 Hour","2018-07-31 05:00:00","0.00","kWh"
"88","1 Hour","2018-07-31 06:00:00","0.00","kWh"
"89","1 Hour","2018-07-31 07:00:00","0.00","kWh"
"90","1 Hour","2018-07-31 08:00:00","2.05","kWh"
"91","1 Hour","2018-07-31 09:00:00","5.72","kWh"
"92","1 Hour","2018-07-31 10:00:00","7.48","kWh"
"93","1 Hour","2018-07-31 11:00:00","13.77","kWh"
"94","1 Hour","2018-07-31 12:00:00","17.72","kWh"
"95","1 Hour","2018-07-31 13:00:00","16.51","kWh"
"96","1 Hour","2018-07-31 14:00:00","1.23","kWh"
"97","1 Hour","2018-07-31 15:00:00","6.70","kWh"
"98","1 Hour","2018-07-31 16:00:00","11.52","kWh"
"99","1 Hour","2018-07-31 17:00:00","10.21","kWh"
"100","1 Hour","2018-07-31 18:00:00","5.53","kWh"
"101","1 Hour","2018-07-31 19:00:00","1.02","kWh"
"102","1 Hour","2018-07-31 20:00:00","0.17","kWh"
"103","1 Hour","2018-07-31 21:00:00","0.00","kWh"
"104","1 Hour","2018-07-31 22:00:00","0.00","kWh"
"105","1 Hour","2018-07-31 23:00:00","0.00","kWh"
"106","1 Hour","2018-08-01 00:00:00","0.00","kWh"
"107","1 Hour","2018-08-01 01:00:00","0.00","kWh"
"108","1 Hour","2018-08-01 02:00:00","0.00","kWh"
"109","1 Hour","2018-08-01 03:00:00","0.00","kWh"
"110","1 Hour","2018-08-01 04:00:00","0.00","kWh"
"111","1 Hour","2018-08-01 05:00:00","0.02","kWh"
"112","1 Hour","2018-08-01 06:00:00","0.45","kWh"
"113","1 Hour","2018-08-01 07:00:00","2.63","kWh"
"114","1 Hour","2018-08-01 08:00:00","6.86","kWh"
"115","1 Hour","2018-08-01 09:00:00","7.53","kWh"
"116","1 Hour","2018-08-01 10:00:00","0.00","kWh"
"117","1 Hour","2018-08-01 11:00:00","0.00","kWh"
"118","1 Hour","2018-08-01 12:00:00","0.00","kWh"
"119","1 Hour","2018-08-01 13:00:00","0.00","kWh"
"120","1 Hour","2018-08-01 14:00:00","0.00","kWh"
"121","1 Hour","2018-08-01 15:00:00","0.00","kWh"
"122","1 Hour","2018-08-01 16:00:00","0.00","kWh"
"123","1 Hour","2018-08-01 17:00:00","0.00","kWh"
"124","1 Hour","2018-08-01 18:00:00","0.00","kWh"
"125","1 Hour","2018-08-01 19:00:00","0.00","kWh"
"126","1 Hour","2018-08-01 20:00:00","0.00","kWh"
"127","1 Hour","2018-08-01 21:00:00","0.00","kWh"
"128","1 Hour","2018-08-01 22:00:00","0.00","kWh"
"129","1 Hour","2018-08-01 23:00:00","0.00","kWh"
"130","1 Hour","2018-08-02 00:00:00","0.00","kWh"
"131","1 Hour","2018-08-02 01:00:00","0.00","kWh"
"132","1 Hour","2018-08-02 02:00:00","0.00","kWh"
"133","1 Hour","2018-08-02 03:00:00","0.00","kWh"
"134","1 Hour","2018-08-02 04:00:00","0.00","kWh"
"135","1 Hour","2018-08-02 05:00:00","0.01","kWh"
"136","1 Hour","2018-08-02 06:00:00","0.91","kWh"
"137","1 Hour","2018-08-02 07:00:00","2.83","kWh"
"138","1 Hour","2018-08-02 08:00:00","8.96","kWh"
"139","1 Hour","2018-08-02 09:00:00","13.90","kWh"
"140","1 Hour","2018-08-02 10:00:00","17.99","kWh"
"141","1 Hour","2018-08-02 11:00:00","10.59","kWh"
"142","1 Hour","2018-08-02 12:00:00","3.20","kWh"
"143","1 Hour","2018-08-02 13:00:00","4.31","kWh"
"144","1 Hour","2018-08-02 14:00:00","4.64","kWh"
"145","1 Hour","2018-08-02 15:00:00","3.63","kWh"
"146","1 Hour","2018-08-02 16:00:00","0.00","kWh"
"147","1 Hour","2018-08-03 17:00:00","0.98","kWh"
"148","1 Hour","2018-08-03 18:00:00","0.54","kWh"
